Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Xylomelum pyriforme,T,1.61,2.18,-0.061,0.122,,,,
Corymbia gummifera,T,1.16,2.27,-0.090,0.182,,,,
Eucalyptus haemostoma,T,1.27,2.30,0.019,0.319,,,,
Brachychiton populneus,T,1.12,2.12,0.253,0.369,,,,
Callitris glaucophylla,T,1.49,2.37,0.080,0.452,,,,
Eucalyptus intertexta,T,1.20,2.26,0.168,0.424,,,,
Exocarpus apophyllum,T,1.53,2.72,0.028,0.552,,,,
Geijera parviflora,T,1.47,2.27,0.230,0.505,,,,
Brachychiton populneus,T,1.12,2.10,0.189,0.285,,,,
Callitris glaucophylla,T,,,0.034,,,,,
Eucalyptus dumosa,T,1.47,2.48,-0.042,0.438,,,,
Eucalyptus socialis,T,1.46,2.45,0.086,0.541,,,,
Santalum acuminatum,T,1.24,2.49,-0.001,0.494,,,,
Citharexylum macradenium,T,,2.02,,,,,,
Parathesis amplifolia,T,,1.92,,,,,,
Inga punctata,T,,2.05,,,,,,
Croton draco,T,,1.79,,,,,,
Dendropanax arboreus,T,,2.31,,,,,,
Abies alba,T,1.99,2.27,0.236,0.602,,,,
Acer platanoides,T,0.78,1.67,0.210,-0.122,,,,
Acer pseudoplatanus,T,0.78,1.79,0.342,0.112,,,,
Betula pendula,T,0.68,1.82,0.279,0.028,,,,
Carpinus betulus,T,0.78,1.66,0.272,0.075,,,,
Fagus sylvatica,T,0.78,1.65,0.338,0.022,,,,
Larix decidua,T,0.78,2.00,0.258,0.291,,,,
Picea abies,T,2.01,2.37,0.076,0.548,,,,
Pinus nigra,T,1.66,2.51,0.072,0.588,,,,
Pinus sylvestris,T,1.46,2.45,0.121,0.546,,,,
Pseudotsuga menziesii,T,1.81,2.14,0.033,0.294,,,,
Quercus robur,T,0.78,1.84,0.270,0.010,,,,
Quercus rubra,T,0.78,1.84,0.303,0.125,,,,
Tilia cordata,T,0.68,1.66,0.272,-0.102,,,,
Betula ermanii,T,,1.68,0.407,0.084,,,,
Alnus maximowiczii,T,,1.82,0.342,0.166,,,,
Betula platyphylla japonica,T,,1.78,0.332,0.115,,,,
Betula ermanii,T,,1.81,0.255,0.065,,,,
Alnus maximowiczii,T,,1.66,0.362,0.019,,,,
Quercus mongolica grosseserrata,T,,1.74,0.332,0.077,,,,
Anacardium excelsum,T,,2.01,,,,,,
Cecropia longipes,T,,2.10,,,,,,
Didymopanax morototoni,T,,2.14,,,,,,
Ficus obtusifolia,T,,1.99,,,,,,
Luehea seemannii,T,,1.89,,,,,,
Pseudobombax septenatum,T,,2.11,,,,,,
Colophosphermum mopane,T,,,,0.561,,,,
Combretum apiculatum,T,,,,0.331,,,,
Dalbergia melanoxylon,T,,,,0.641,,,,
Euclea divinorum,T,,,,0.367,,,,
Lannea stuhlmannii,T,,,,0.389,,,,
Albizia antunesiana,T,,,,0.581,,,,
Brachystegia spiciformis,T,,,,0.508,,,,
Burkea africana,T,,,,0.564,,,,
Combretum apiculatum,T,,,,0.250,,,,
Julbernardia globulifera,T,,,,0.506,,,,
Monotes glaber,T,,,,0.320,,,,
Terminalia sericea,T,,,,0.430,,,,
Acacia nigrescens,T,,,,0.654,,,,
Bolusanthus speciosus,T,,,,0.666,,,,
Combretum apiculatum,T,,,,0.452,,,,
Euclea divinorum,T,,,,0.436,,,,
Ziziphus mucronata,T,,,,0.600,,,,
Alnus incana,T,0.56,1.66,0.504,0.167,,,,
Betula papyrifera,T,0.56,1.74,0.415,0.155,,,,
Picea glauca,T,1.78,2.51,0.079,0.584,,,,
Picea mariana,T,2.38,2.59,-0.046,0.545,,,,
Populus balsamifera,T,0.56,1.98,0.279,0.261,,,,
Populus tremuloides,T,0.56,1.88,0.342,0.223,,,,
Beureria cumanensis,T,0.90,2.05,0.230,0.280,,,,
Bulnesia arborea,T,1.04,1.96,0.294,0.254,,,,
Caesalpinia granadillo,T,0.95,2.13,0.257,0.388,,,,
Capparis linearis,T,1.08,2.69,0.100,0.786,,,,
Capparis odoratissima,T,1.08,2.44,0.060,0.501,,,,
Capparis pachaca,T,1.08,2.35,0.130,0.481,,,,
Cochlospermum vitifolium,T,0.78,1.73,0.357,0.087,,,,
Jacquinia revoluta,T,1.08,2.40,-0.011,0.385,,,,
Pereskia guamacho,T,0.78,1.91,0.376,0.284,,,,
Pithecellobium carobobense,T,0.78,1.93,0.358,0.285,,,,
Tabebuia billbergiana,T,0.78,1.72,0.363,0.082,,,,
Acer pensylvanicum,T,,1.59,,,,,,
Acer rubrum,T,,1.89,0.217,0.107,,,,
Betula sp,T,,1.77,,,,,,
Carya glabra,T,,1.92,0.407,0.331,,,,
Cornus florida,T,,1.83,0.241,0.070,,,,
Fraxinus sp,T,,1.90,0.283,0.186,,,,
Liriodendron tulipifera,T,,1.87,0.328,0.201,,,,
Magnolia fraseri,T,,1.64,0.360,0.004,,,,
Nyssa sylvatica,T,,1.74,0.265,0.002,,,,
Oxydendron arboreum,T,,1.58,0.270,-0.149,,,,
Platanus occidentalis,T,,1.84,0.316,0.155,,,,
Quercus alba,T,,1.99,0.342,0.330,,,,
Quercus coccinea,T,,2.02,,,,,,
Quercus prinus,T,,2.05,0.405,0.455,,,,
Quercus rubra,T,,1.98,0.332,0.315,,,,
Rhododendron maximum,T,,2.07,,,,,,
Robinia pseudoacacia,T,,1.88,0.501,0.380,,,,
Tilia americana,T,,1.82,0.459,0.283,,,,
Clematis lasiantha,V,,1.87,,,,,,
Lonicera hispidula,V,,2.03,,,,,,
Salacia megistophylla,V,,2.19,,,,,,
Ficus deltoidea,V,,,0.121,,,,,
Hedera helix,V,,1.86,0.144,0.008,,,,
Lonicera periclymenum,V,,1.85,0.354,0.202,,,,
Rosa arvensis,V,,1.65,0.381,0.033,,,,
Rubus fruticosus,V,,1.81,0.401,0.207,,,,
Solanum dulcamara,V,,1.43,0.584,0.010,,,,
Clematis vitalba,V,,1.56,0.508,0.069,,,,
Aristolochia rotunda,V,,1.56,0.516,0.075,,,,
Aristolochia rotunda,V,,1.69,0.543,0.231,,,,
Clematis vitalba,V,,1.71,0.439,0.144,,,,
Lonicera etrusca,V,,1.82,0.260,0.081,,,,
Rubus corylifolius,V,0.78,1.85,0.265,0.113,,,,
Dalbergia armata,V,,1.97,0.678,0.645,,,,
Monanthotaxis caffra,V,,1.80,0.578,0.383,,,,
Rhoicissus tomentosa,V,,1.77,0.507,0.277,,,,
Ventilago viminalis,V,,2.68,0.176,0.858,,,,
Mansoa verrucifera,V,0.78,1.76,0.434,0.191,,,,
Memora sp,V,1.04,2.11,0.311,0.419,,,,
Salix sp,V,,2.07,0.276,0.348,,,,
Vitis vinifera,V,,1.80,0.386,0.187,,,,
